,City,Latitude,Longitude,Temperature,Max Temperature,Cloudiness,Humidity,Wind Speed
0,tuktoyaktuk,69.45,-133.04,62.6,62.6,90.0,72.0,8.05
1,busselton,-33.65,115.33,49.62,50.0,27.0,85.0,8.08
2,unhel,23.33,75.57,78.22,78.22,99.0,87.0,6.02
3,norman wells,65.28,-126.83,73.4,73.4,75.0,56.0,10.29
5,klaksvik,62.23,-6.59,50.0,50.0,100.0,93.0,13.87
6,nouadhibou,20.93,-17.03,73.4,73.4,40.0,88.0,6.93
7,barrow,71.29,-156.79,37.4,37.4,90.0,93.0,5.82
8,dikson,73.51,80.55,52.7,52.7,100.0,73.0,10.18
10,butaritari,3.07,172.79,81.34,81.34,70.0,77.0,4.99
11,cherskiy,68.75,161.3,47.86,47.86,95.0,70.0,10.6
12,rundu,-17.93,19.77,54.54,54.54,0.0,41.0,5.75
13,port alfred,-33.59,26.89,56.71,56.71,27.0,85.0,7.63
14,torbay,47.67,-52.73,57.79,61.0,90.0,100.0,5.82
15,pevek,69.7,170.31,36.64,36.64,100.0,95.0,8.95
17,victoria,48.43,-123.37,76.48,84.99,5.0,63.0,6.93
18,ushuaia,-54.8,-68.3,31.17,31.17,56.0,94.0,4.43
19,punta arenas,-53.15,-70.92,37.2,37.4,40.0,86.0,12.75
20,bengkulu,-3.8,102.27,75.02,75.02,81.0,91.0,8.19
21,bandundu,-3.32,17.37,84.04,84.04,77.0,36.0,1.81
22,atuona,-9.8,-139.03,79.03,79.03,7.0,75.0,18.12
24,cape town,-33.93,18.42,49.93,51.8,0.0,93.0,3.36
25,bandarbeyla,9.49,50.81,79.07,79.07,18.0,77.0,30.91
26,new norfolk,-42.78,147.06,43.11,48.99,100.0,86.0,2.53
28,lavrentiya,65.58,-171.0,47.08,47.08,100.0,86.0,9.53
29,albany,42.65,-73.76,78.87,82.0,75.0,65.0,10.29
30,maniitsoq,65.42,-52.9,46.98,46.98,0.0,82.0,3.67
31,fairbanks,64.84,-147.72,73.06,75.99,75.0,60.0,4.7
32,kavieng,-2.57,150.8,83.73,83.73,100.0,74.0,8.37
33,manzhouli,49.6,117.43,65.21,65.21,83.0,85.0,3.11
36,nabire,-3.37,135.48,75.45,75.45,100.0,91.0,5.1
37,san patricio,19.22,-104.7,89.6,89.6,40.0,75.0,11.41
38,nosy varika,-20.58,48.53,69.78,69.78,74.0,91.0,7.61
39,hermanus,-34.42,19.23,45.0,45.0,0.0,95.0,5.79
40,east london,-33.02,27.91,60.67,60.67,76.0,75.0,6.02
43,tasiilaq,65.61,-37.64,48.2,48.2,96.0,66.0,4.7
44,boulder city,35.98,-114.83,109.17,109.4,1.0,5.0,12.75
45,hithadhoo,-0.6,73.08,82.87,82.87,95.0,76.0,7.78
46,saint-philippe,-21.36,55.77,63.91,69.01,75.0,77.0,3.36
48,novyy svit,47.81,38.02,73.08,73.08,6.0,47.0,5.23
49,bethel,41.37,-73.41,79.32,80.6,1.0,78.0,6.93
51,saskylakh,71.92,114.08,57.09,57.09,0.0,66.0,1.99
53,khatanga,71.97,102.5,61.74,61.74,26.0,56.0,9.6
54,kuching,1.55,110.33,76.06,77.0,20.0,100.0,2.24
55,sao joao da barra,-21.64,-41.05,68.0,68.0,75.0,94.0,11.41
56,basco,20.45,121.97,84.72,84.72,100.0,80.0,18.72
57,lasa,46.62,10.7,65.53,66.2,90.0,93.0,5.82
58,ixtapa,20.7,-105.2,86.9,87.8,75.0,66.0,9.17
60,kroonstad,-27.65,27.23,45.82,45.82,0.0,46.0,2.68
61,inuvik,68.35,-133.72,71.6,71.6,5.0,49.0,12.75
62,cidreira,-30.18,-50.21,55.4,55.4,0.0,77.0,13.47
63,yellowknife,62.46,-114.35,69.3,69.8,75.0,49.0,18.34
64,mayumba,-3.43,10.66,71.47,71.47,60.0,83.0,4.76
65,ambon,-3.7,128.18,79.0,79.0,94.0,14.0,1.01
68,daru,-9.08,143.21,75.18,75.18,100.0,80.0,17.11
69,reyes,-14.32,-67.38,71.76,71.76,0.0,55.0,0.94
70,hamilton,43.23,-79.95,83.75,84.99,75.0,39.0,11.41
71,gdynia,54.52,18.53,59.56,61.0,40.0,76.0,10.29
72,benguela,-12.58,13.41,70.27,70.27,83.0,81.0,1.81
73,souillac,-20.52,57.52,69.8,69.8,75.0,88.0,4.7
74,kapaa,22.08,-159.32,80.46,82.4,40.0,69.0,16.11
76,qaanaaq,77.48,-69.36,43.05,43.05,19.0,63.0,5.55
77,raga,8.46,25.68,69.64,69.64,100.0,95.0,3.4
78,oktyabrskiy,54.48,53.47,62.38,62.38,98.0,83.0,5.73
79,rikitea,-23.12,-134.97,72.79,72.79,98.0,87.0,13.24
80,varnavino,57.4,45.09,55.02,55.02,17.0,90.0,6.29
81,cairns,-16.92,145.77,63.03,66.2,52.0,77.0,10.29
82,pontianak,-0.03,109.33,72.93,72.93,100.0,93.0,4.94
83,alyangula,-13.85,136.42,51.8,51.8,0.0,93.0,13.42
85,castro,-24.79,-50.01,48.07,48.07,58.0,90.0,9.4
86,bredasdorp,-34.53,20.04,50.0,50.0,0.0,93.0,3.36
88,tabou,4.42,-7.35,75.4,75.4,84.0,86.0,8.01
89,puerto escondido,15.85,-97.07,84.2,84.2,75.0,74.0,10.29
90,touros,-5.2,-35.46,75.2,75.2,20.0,73.0,5.82
91,port hardy,50.7,-127.42,69.8,69.8,5.0,56.0,3.36
92,provideniya,64.38,-173.3,50.0,50.0,90.0,76.0,15.66
93,upington,-28.45,21.26,50.0,50.0,0.0,31.0,4.7
94,longyearbyen,78.22,15.64,50.0,50.0,20.0,81.0,5.82
95,hilo,19.73,-155.09,74.88,84.2,90.0,54.0,8.05
97,avarua,-21.21,-159.78,71.6,71.6,100.0,56.0,6.93
99,upernavik,72.79,-56.15,44.69,44.69,55.0,72.0,1.45
100,vaini,-21.2,-175.2,71.6,71.6,20.0,73.0,10.29
101,bahia blanca,-38.72,-62.27,49.41,49.41,30.0,50.0,12.01
102,katsuura,35.13,140.3,72.54,73.99,20.0,94.0,3.98
103,mount gambier,-37.83,140.77,41.0,41.0,57.0,93.0,9.17
104,clyde river,70.47,-68.59,37.4,37.4,90.0,100.0,20.8
105,palana,59.12,159.97,49.82,49.82,55.0,83.0,1.1
107,alofi,-19.06,-169.92,73.4,73.4,36.0,64.0,19.46
108,yulara,-25.24,130.99,39.2,39.2,0.0,35.0,5.82
109,narsaq,60.92,-46.05,48.2,48.2,100.0,81.0,9.17
111,shimoda,34.67,138.95,69.01,69.01,6.0,93.0,3.71
112,ostrovnoy,68.05,39.51,50.45,50.45,47.0,84.0,14.5
113,svetlyy,54.67,20.13,59.0,59.0,75.0,93.0,11.18
115,thinadhoo,0.53,72.93,82.83,82.83,74.0,75.0,9.33
116,aswan,24.09,32.91,97.97,97.97,28.0,27.0,5.73
117,isangel,-19.55,169.27,77.0,77.0,13.0,73.0,6.93
118,flinders,-34.58,150.86,51.01,51.01,19.0,71.0,4.0
120,ribeira grande,38.52,-28.7,71.06,71.06,77.0,78.0,14.54
121,chuy,-33.7,-53.46,45.32,45.32,0.0,85.0,8.3
122,raymond,43.9,-70.47,76.78,81.0,1.0,78.0,3.36
123,dali,25.7,100.18,63.0,63.0,100.0,88.0,2.71
124,nanpiao,41.1,120.75,73.06,73.06,77.0,84.0,5.84
125,bluff,-46.6,168.33,47.59,47.59,100.0,93.0,5.66
127,thio,-21.62,166.22,71.6,71.6,90.0,88.0,1.12
129,zhigansk,66.77,123.37,52.23,52.23,0.0,70.0,14.94
130,rio bueno,-40.32,-72.97,48.2,48.2,93.0,87.0,10.29
131,ponta do sol,32.67,-17.1,68.18,69.8,40.0,68.0,11.41
132,jamestown,42.1,-79.24,75.0,77.0,75.0,53.0,8.05
133,waingapu,-9.66,120.26,69.4,69.4,0.0,80.0,7.2
135,haines junction,60.75,-137.51,75.4,75.4,0.0,37.0,8.81
136,thompson,55.74,-97.86,77.0,77.0,75.0,61.0,3.36
137,rorvik,64.86,11.24,59.0,59.0,75.0,93.0,5.82
138,hasaki,35.73,140.83,71.2,72.0,75.0,94.0,2.24
139,fuxin,42.02,121.66,75.61,75.61,100.0,75.0,10.71
140,sisimiut,66.94,-53.67,48.0,48.0,0.0,70.0,4.83
141,ca mau,9.18,105.15,79.39,79.39,100.0,86.0,6.51
142,surt,31.21,16.59,77.95,77.95,0.0,79.0,8.7
